label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Adriaticum Mare,1004,خليج البنادقة,Khalig al-bunadiqa,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,Literal translation: Venetian Gulf
Adriaticum Mare,1004,البحر الأدرياتيكي,Al-bachr al-Adriyatiki,ar,"Wikipedia (Arabic), البحر_الأدرياتيكي",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D8%A7%D9%84%D8%A3%D8%AF%D8%B1%D9%8A%D8%A7%D8%AA%D9%8A%D9%83%D9%8A,,,,,Modern,vvitale,
Adriaticum Mare,1004,Baḥr Adriyās,,ar-Latn,"Encyclopedia of Islam, Baḥr Adriyās",http://dx.doi.org/10.1163/1573-3912_islam_SIM_1055,,,,,Modern,vvitale,
Internum Mare,1043,البحر الرومي,Al-bachr ar-rumi,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), البحر_الأبيض_المتوسط",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D8%A7%D9%84%D8%A3%D8%A8%D9%8A%D8%B6_%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D8%B7,,,Mediaeval/Byzantine,vvitale,Literal translation: Roman Sea
Internum Mare,1043,  البحرالشامي,Al-bachr ash-shami,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), البحر_الأبيض_المتوسط",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D8%A7%D9%84%D8%A3%D8%A8%D9%8A%D8%B6_%D8%A7%D9%84%D9%85%D8%AA%D9%88%D8%B3%D8%B7,,,Mediaeval/Byzantine,vvitale,Literal translation: Syrian Sea
Lampedusa,1094,لنبدوشة,Lanbedusha,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f200,,,,,Mediaeval/Byzantine,vvitale,
Pontus Exinus,1224, بحر نيطش,Bachr Nitsh,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,,,,,Mediaeval/Byzantine,vvitale,
Persicus Sinus,29713,درياي فارس,Dryai Fars,fa,"Ouseley 1800, 8",https://archive.org/stream/orientalgeograp00agoog#page/n62/mode/1up,,,,,,vvitale,
Veh,29802,كرمان,Kirman,fa,"Ouseley 1800, 12",https://archive.org/stream/orientalgeograp00agoog#page/n62/mode/1up,"Wikipedia (Farsi), استان_کرمان",https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D8%A7%D9%86_%DA%A9%D8%B1%D9%85%D8%A7%D9%86,,,Modern,vvitale,
Red Sea,39290,بحر القلزم,Bachr al-Qulzum,ar,"The Muqaddimah, Second Prefactory Discussion",http://www.muslimphilosophy.com/ik/Muqaddimah/Chapter1/Ch_1_02.htm,"Wikipedia (Arabic), البحر_الأحمر",https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%A8%D8%AD%D8%B1_%D8%A7%D9%84%D8%A3%D8%AD%D9%85%D8%B1,,,"Mediaeval/Byzantine, modern",vvitale,"Literal translation: Sea of Qulzun. It may seem more appropriate to link this name to the Gulf of Suez, but it is translated as ""Red Sea"" in the English version of the original Arabic text."
