label,Pleiades place,Name,Transliteration,Language,source citation,source link,source citation 2,source link 2,source citation 3,source link 3,date attested,creators,details
Genoa,383664,جنوة,Ginua,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,,
"Corsica, ins.",472063,قرشقة,Qurshiqa,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,,
Naples,433014,نبل,Nabal,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f486,,,Mediaeval/Byzantine,,
Amalfi,432670,ملف,Malf,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f486,,,Mediaeval/Byzantine,,
Pisa,403253,بيش,Bish,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f486,,,Mediaeval/Byzantine,,
Otranto,442615,اذرنت,Adhrant,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,,
Otranto,442615,ادرنت,Adrant,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f409,,,,,Mediaeval/Byzantine,,
Córdoba,256128,قرطب,Qurtuba,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,,
Malaga,265963,مالقة,Malaqa,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f345,,,Mediaeval/Byzantine,,
Zaragoza,246344,سرقسطية,Saraqustiya,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f345,,,,,Mediaeval/Byzantine,,
Sfax,324822,اسفاقس,Asfaqs,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f200,,,Mediaeval/Byzantine,,
Lampedusa,1094,لنبدوشة,Lanbedusha,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f200,,,,,Mediaeval/Byzantine,,
Girba?,344383,جربة,Girba,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f200,,,,,Mediaeval/Byzantine,,
Reggio,452416,ريو,Riu,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f409,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,Mediaeval/Byzantine,,
Crotone,452317,قطرونة,Qutruna,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f499,,,Mediaeval/Byzantine,,
Brundisium,442509,بذرنت,Badhrant,ar,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,,,Mediaeval/Byzantine,,
Rhodos,590031,جزيرة ردوس,Giazira Rudus,ar,al-Idrisi (Bibliothèque Nationale de France),http://gallica.bnf.fr/ark:/12148/btv1b6000547t/f419,"Book of the Description of the Earth, (Istanbul, Topakapi Sarayi, ms. 6527)",,,,Mediaeval/Byzantine,,literal translation: Island of Rudus
